Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Vehicle Color,Vehicle Year,Violation Description,Street Name,Violation County,Fine Amount
1826972878,NEY8477,NY,PAS,08/28/2013,37,SDN,TOYOTA,YELLOW,2003,Expired Muni Meter,HILLSIDE AVE,Brooklyn,65
4531811853,YZW5524,NY,PAS,04/15/2014,14,SUBN,FORD,WHITE,2002,No Standing - Day/Time Limits,COLUMBUS AVE,Bronx,115
9784084995,KQH2377,ma,PAS,10/11/13,20,VAN,toyota,GRAY,1998,No Parking - Day/Time Limits,ATLANTIC AVE,Bronx,65
1770480897,DGW9494,NJ,PAS,04-30-2014,14,BUS,FORD,RED,2008,No Standing - Day/Time Limits,NOSTRAND AVE,Bronx,115
4553129661,SYH4557,MD,PAS,04/06/14,38,SDN,CHEVROLET,BLACK,9999,Failure to Display Muni Meter Receipt,COLUMBUS AVE,Brooklyn,65
1848877400,FNK2890,NJ,OMT,10/01/13,14,VAN,KIA,,2007,No Standing - Day/Time Limits,RICHMOND AVE,Brooklyn,115
6561982502,SNE6577,CT,COM,06/15/2014,83,SUBN,TOYOTA,BROWN,2011,Improper Registration,PARK AVE,Bronx,65
9853109380,AAJ4648,TX,PAS,04/08/14,98,SDN,AUDI,WHITE,2009,Blocking Intersection,MADISON AVE,,115
2930446141,NSK0545,CT,COM,07/14/2013,74,van,,WHITE,1999,Missing Required Equipment,LEXINGTON AVE,Manhattan,65
3657065261,FVT8986,NJ,PAS,02/22/2014,19,SDN,JEEP,GY,2008,No Standing - Bus Stop,RICHMOND AVE,Bronx,115
1135252403,SQY0970,NY,COM,06/28/2014,20,VAN,BMW,ORANGE,2002,No Parking - Day/Time Limits,BEDFORD AVE,Bronx,65
4109822170,BRX2085,PA,COM,10/16/2013,20,,TOYOTA,,2009,No Parking - Day/Time Limits,AMSTERDAM AVE,Brooklyn,-65
8563835154,QVB2153,CT,PAS,02/10/14,37,VAN,MAZDA,WHITE,2008,Expired Muni Meter,5TH AVE,Manhattan,65
2854663638,XVF4869,NY,PAS,11/27/2013,38,SDN,TOYOTA,SILVER,,Failure to Display Muni Meter Receipt,FLATBUSH AVE,,65
3954581592,FDX7451,NY,PAS,06/20/2014,19,PICK,MERCEDES,BLACK,2011,No Standing - Bus Stop,PARK AVE,Bronx,115
5978162882,CPY5283,NJ,PAS,08/05/13,37,pick,SUBARU,YELLOW,1998,Expired Muni Meter,madison ave,Bronx,65
2623867626,,NY,PAS,01/26/2014,36,PICK,TOYOTA,blue,2002,Exceeding Parking Time Limit,FULTON ST,,65
6031017972,QJR0485,NY,,06/10/14,14,SUV,MERCEDES,SILVER,2002,No Standing - Day/Time Limits,AMSTERDAM AVE,Manhattan,115
9740814656,SKF9025,NY,TRC,03/13/2014,71,SUV,LEXUS,BLACK,2012,Inspection Sticker Expired,JAMAICA AVE,Bronx,65
2805418091,ZKN3226,FL,PAS,09/10/13,38,sdn,INFINITI,RED,2010,Failure to Display Muni Meter Receipt,AMSTERDAM AVE,Brooklyn,65
1676604772,VHD3428,NY,COM,05/21/2014,38,SDN,HYUNDAI,BLACK,2004,Failure to Display Muni Meter Receipt,LEXINGTON AVE,Brooklyn,65
1314447563,FYB7206,NY,TRC,12/03/13,14,SDN,FORD,WHITE,9999,No Standing - Day/Time Limits,,Staten Island,115
2782638387,DGR3789,PA,OMS,11/01/13,71,SUBN,HYUNDAI,GRAY,2011,Inspection Sticker Expired,PARK AVE,manhattan,65
2866672076,RVV5000,NY,PAS,11/07/13,19,SUV,HYUNDAI,GRAY,9999,No Standing - Bus Stop,GRAND CONCOURSE,Queens,
6008744392,DMT1460,NY,PAS,06/03/14,40,SUBN,HYUNDAI,BLUE,,Fire Hydrant,FLATBUSH AVE,Manhattan,-115
2945857110,KLF0026,VA,PAS,09/17/2013,46,SUBN,VOLKSWAGEN,GREEN,2010,Double Parking,HILLSIDE AVE,Brooklyn,
7223659197,MUL3232,NJ,OMT,02/02/14,14,PICK,TOYOTA,BLACK,2008,No Standing - Day/Time Limits,FORDHAM RD,Bronx,115
7206553278,TLD1574,NY,PAS,01/10/14,36,PICK,TOYOTA,GRAY,2000,Exceeding Parking Time Limit,flatbush ave,Brooklyn,65
6651018198,KBM7955,PA,PAS,08/07/13,20,VAN,NISSAN,,1999,No Parking - Day/Time Limits,FULTON ST,,65
3603958409,CDC2532,CT,PAS,02/15/2014,40,DELV,VOLVO,BLACK,2008,Fire Hydrant,AMSTERDAM AVE,Queens,-115
4588976489,WQY0356,PA,PAS,05/03/14,14,SDN,CHEVROLET,RED,2008,No Standing - Day/Time Limits,RICHMOND AVE,Brooklyn,115
6137939009,LPK3653,NY,COM,03/03/14,38,SDN,VOLVO,SILVER,2005,Failure to Display Muni Meter Receipt,COLUMBUS AVE,Manhattan,65
6564277090,SPM4397,NY,PAS,04/25/2014,21,SUV,MAZDA,BROWN,2002,No Parking - Street Cleaning,,Brooklyn,65
3497104816,HBB6168,NJ,PAS,01/22/2014,46,SUBN,DODGE,RED,2013,Double Parking,RICHMOND AVE,Brooklyn,115
1231035712,,NY,PAS,03/31/2014,98,DELV,DODGE,BLACK,2011,Blocking Intersection,BEDFORD AVE,Manhattan,115
4681542027,ALQ8107,NY,COM,03/17/2014,74,SUV,DODGE,WHITE,2002,Missing Required Equipment,FLATBUSH AVE,Brooklyn,
7700427495,UBH2151,NY,COM,06/20/2014,21,TAXI,LEXUS,BLACK,2013,No Parking - Street Cleaning,FLATBUSH AVE,Brooklyn,65
4507718470,ZSP3452,NJ,pas,01/31/2014,36,DELV,HYUNDAI,BLACK,2004,Exceeding Parking Time Limit,ATLANTIC AVE,Queens,65
9816845002,TZD0724,NY,pas,04/05/14,38,SDN,TOYOTA,GRAY,2014,Failure to Display Muni Meter Receipt,BROADWAY,Queens,65
4761528424,KBL2495,NY,PAS,07/19/2013,21,SUV,TOYOTA,WHITE,2009,No Parking - Street Cleaning,JAMAICA AVE,Queens,65
4431433612,WSX1588,CT,PAS,01/01/14,21,MC,TOYOTA,GY,2002,No Parking - Street Cleaning,ATLANTIC AVE,,65
9807939295,TPC2929,NY,SRF,06/25/2014,21,SUV,TOYOTA,WHITE,2012,No Parking - Street Cleaning,FLATBUSH AVE,Manhattan,65
1318570313,PDG0527,NY,PAS,04/01/14,71,SUV,TOYOTA,RED,2006,Inspection Sticker Expired,LEXINGTON AVE,Queens,0
5653888632,LGC9317,NJ,COM,05/01/14,21,SDN,kia,WHITE,2009,No Parking - Street Cleaning,MADISON AVE,brooklyn,65
5696703644,BWK1734,NY,PAS,05/23/2014,40,SUV,NISSAN,GRAY,2000,Fire Hydrant,ATLANTIC AVE,Manhattan,115
6416555890,CYY5045,NJ,PAS,08/13/2013,37,VAN,FORD,BLACK,2008,Expired Muni Meter,RICHMOND AVE,Bronx,65
3357539470,HJR8619,NY,COM,08/25/2013,46,SDN,JEEP,GRAY,2003,Double Parking,ATLANTIC AVE,Bronx,115
4556705841,FBW2450,NY,PAS,11/05/13,71,,BMW,GRAY,1999,Inspection Sticker Expired,ATLANTIC AVE,Brooklyn,65
5484025579,YKF3382,NJ,COM,06/02/14,37,PICK,TOYOTA,SILVER,2007,Expired Muni Meter,AMSTERDAM AVE,Manhattan,
4598759233,ALJ6612,GA,PAS,06/06/14,21,VAN,SUBARU,SILVER,2008,No Parking - Street Cleaning,PARK AVE,Queens,65
4393144996,QAR4252,NY,PAS,12/29/2013,19,PICK,FORD,SILVER,,No Standing - Bus Stop,5TH AVE,Queens,115
9973832043,CAJ7568,NJ,COM,09/24/2013,40,SDN,HYUNDAI,GREEN,2012,Fire Hydrant,BEDFORD AVE,bronx,115
2899868676,GAJ9626,NY,COM,05/28/2014,46,SUV,FORD,BROWN,2013,Double Parking,5TH AVE,Queens,115
9934205769,LYH1307,NY,PAS,05/10/14,38,SDN,BMW,RED,2003,Failure to Display Muni Meter Receipt,ATLANTIC AVE,Bronx,65
8559742010,ZWP2324,NY,SRF,07/23/2013,21,DELV,JEEP,WHITE,2009,No Parking - Street Cleaning,JAMAICA AVE,Brooklyn,65
2979547011,FBZ9266,FL,PAS,04/15/2014,83,TAXI,HONDA,ORANGE,2006,Improper Registration,HILLSIDE AVE,Manhattan,-65
8221295771,PCZ0549,NY,COM,05/27/2014,20,SDN,ACURA,YELLOW,2003,No Parking - Day/Time Limits,FULTON ST,Queens,65
2450330956,XAA4496,NY,PAS,06/12/14,21,SUBN,TOYOTA,RED,2003,No Parking - Street Cleaning,RICHMOND AVE,Queens,65
1130341144,CPK7409,NJ,PAS,05/28/2014,98,SDN,BMW,GRAY,2013,Blocking Intersection,NOSTRAND AVE,Queens,115
2385112390,YNN9894,NY,COM,01/21/2014,46,SUV,KIA,BLACK,2009,Double Parking,,Manhattan,-115
3516165957,PFN6476,NY,PAS,12/17/2013,38,SUV,MAZDA,BLUE,2003,Failure to Display Muni Meter Receipt,ATLANTIC AVE,Manhattan,65
9944838922,WGJ1529,NY,PAS,02/06/14,20,DELV,HONDA,GREEN,2013,No Parking - Day/Time Limits,NOSTRAND AVE,Bronx,65
6112823642,NMF8232,MD,PAS,08/24/2013,71,SDN,HONDA,RED,1998,Inspection Sticker Expired,ATLANTIC AVE,Queens,65
5716993348,ZTA8329,NY,PAS,07/06/13,21,SDN,HYUNDAI,SILVER,2008,No Parking - Street Cleaning,BEDFORD AVE,Bronx,65
2595749987,PDA2800,MI,PAS,08/20/2013,40,SDN,TOYOTA,WHITE,2003,Fire Hydrant,atlantic ave,Queens,115
3597900199,QKN9384,NY,PAS,11/10/13,20,SDN,BMW,black,2010,No Parking - Day/Time Limits,JAMAICA AVE,Queens,65
4089049607,HJJ3607,NY,PAS,10/22/2013,21,SUBN,,RED,2013,No Parking - Street Cleaning,JAMAICA AVE,Queens,65
9540125459,WYY0171,TX,TRC,,38,SDN,MERCEDES,WHITE,2011,Failure to Display Muni Meter Receipt,JAMAICA AVE,Bronx,65
6638622165,KMS8660,NJ,PAS,03/23/2014,14,SUV,HONDA,SILVER,,No Standing - Day/Time Limits,JAMAICA AVE,Queens,115
3886984936,BXR3219,NY,PAS,04/12/14,40,VAN,BMW,BLUE,2001,Fire Hydrant,COLUMBUS AVE,Queens,115
6549690147,MWZ5923,NY,PAS,04/24/2014,21,SUV,KIA,BLACK,2012,No Parking - Street Cleaning,NOSTRAND AVE,Manhattan,65
1684078591,TCM5032,NY,pas,06/18/2014,37,PICK,NISSAN,WHITE,2003,Expired Muni Meter,ATLANTIC AVE,Brooklyn,65
7614306997,JJF2128,NJ,COM,04/21/2014,71,VAN,HYUNDAI,BLUE,1998,Inspection Sticker Expired,PARK AVE,Queens,65
6528412331,QQA8791,NJ,PAS,10/22/2013,14,SDN,FORD,WHITE,2008,No Standing - Day/Time Limits,NOSTRAND AVE,Manhattan,115
4298479493,XBD4733,NY,PAS,02/14/2014,46,SDN,HONDA,black,,Double Parking,lexington ave,Manhattan,115
1646724373,JPZ4420,CA,PAS,01/08/14,40,PICK,HONDA,RED,2009,Fire Hydrant,LEXINGTON AVE,Brooklyn,115
5477330907,HGC9172,NY,PAS,01/17/2014,46,SUV,BMW,BLUE,2011,Double Parking,5TH AVE,Manhattan,
6924672281,RBT2689,NY,PAS,02/23/2014,21,SUV,FORD,green,2006,No Parking - Street Cleaning,RICHMOND AVE,Manhattan,65
9763378972,TWS2446,NY,IRP,06/13/2014,20,DELV,BMW,SILVER,2012,No Parking - Day/Time Limits,AMSTERDAM AVE,Brooklyn,65
7161946294,HQW6950,FL,COM,04/28/2014,38,SDN,hyundai,GRAY,1999,Failure to Display Muni Meter Receipt,MADISON AVE,Bronx,65
1112748733,WSS1833,NY,,06/19/2014,19,,AUDI,GREEN,2007,No Standing - Bus Stop,BEDFORD AVE,Brooklyn,115
3573594440,UAM8286,nj,PAS,03/14/2014,14,VAN,HONDA,SILVER,2008,No Standing - Day/Time Limits,5TH AVE,Manhattan,115
9601941558,BWN7895,VA,PAS,09/16/2013,37,DELV,AUDI,SILVER,2000,Expired Muni Meter,NOSTRAND AVE,Manhattan,65
6349866419,MHL6299,NJ,PAS,12/24/2013,46,PICK,nissan,GRAY,2003,Double Parking,AMSTERDAM AVE,Queens,115
2466684707,FRK4585,NJ,PAS,07/13/2013,19,SUV,TOYOTA,BLACK,2013,No Standing - Bus Stop,FORDHAM RD,Brooklyn,
7510701005,BBU1108,NY,COM,03/05/14,14,DELV,TOYOTA,GRAY,2006,No Standing - Day/Time Limits,5TH AVE,Bronx,115
3276483960,JUJ5017,NJ,PAS,08/23/2013,40,SDN,NISSAN,BLACK,2013,Fire Hydrant,HILLSIDE AVE,Queens,115
7035216541,NKN5119,NY,PAS,11/29/2013,74,SUV,CHEVROLET,BLACK,2014,Missing Required Equipment,BROADWAY,Bronx,65
3418073058,FQT1757,CA,PAS,01/29/2014,21,SDN,HONDA,WH,2001,No Parking - Street Cleaning,BROADWAY,Manhattan,65
6307728222,ABK6080,NY,COM,08/13/2013,21,SDN,TOYOTA,BLACK,2012,No Parking - Street Cleaning,PARK AVE,Queens,65
6676402384,FDM8152,NY,PAS,08/29/2013,21,VAN,HONDA,BLACK,2001,No Parking - Street Cleaning,JAMAICA AVE,Manhattan,65
3840364562,YLL2328,NY,PAS,09/11/13,74,SDN,VOLVO,BLACK,2001,Missing Required Equipment,,Bronx,65
6867830047,RZL9710,ny,COM,12/26/2013,21,SUBN,HYUNDAI,SILVER,2012,No Parking - Street Cleaning,FULTON ST,Queens,65
4528651553,ZWL3593,NY,PAS,12/07/13,74,SUV,BMW,BROWN,2008,Missing Required Equipment,JAMAICA AVE,Brooklyn,65
9769778410,LYZ7360,PA,COM,12/23/2013,20,,MAZDA,BLUE,,No Parking - Day/Time Limits,PARK AVE,Manhattan,65
4067844091,UKD7484,MA,PAS,02/19/2014,21,VAN,NISSAN,GREEN,2011,No Parking - Street Cleaning,AMSTERDAM AVE,Manhattan,65
7979394470,YXD9819,NJ,OMT,10/14/2013,14,VAN,HYUNDAI,GREEN,2009,No Standing - Day/Time Limits,5TH AVE,Queens,115
5522758283,VHY5733,NY,COM,03/24/2014,40,VAN,FORD,YELLOW,2005,Fire Hydrant,HILLSIDE AVE,Manhattan,115
1892994637,XCR7205,NY,COM,03/05/14,46,VAN,MERCEDES,BLACK,2013,Double Parking,,Queens,115
7692685951,NVA6217,MD,,12/26/2013,38,SUV,HONDA,,2006,Failure to Display Muni Meter Receipt,BROADWAY,Manhattan,65
7949648358,UKC6064,NY,PAS,03/01/14,20,MC,CHEVROLET,GRAY,2009,No Parking - Day/Time Limits,AMSTERDAM AVE,Queens,65
1793565790,QHP0154,NJ,PAS,19/08/13,21,SDN,TOYOTA,GRAY,2011,No Parking - Street Cleaning,FORDHAM RD,Bronx,65
1277087771,RNN0425,NY,PAS,02/10/14,38,SUBN,HONDA,RED,2003,Failure to Display Muni Meter Receipt,COLUMBUS AVE,Bronx,65
6977205339,LML3465,MI,PAS,,74,BUS,TOYOTA,GRAY,2014,Missing Required Equipment,NOSTRAND AVE,Queens,65
5316320735,MVN1412,NY,PAS,02/17/2014,37,SDN,CHEVROLET,SILVER,1998,Expired Muni Meter,PARK AVE,Manhattan,0
9368508491,YJR3680,NY,PAS,12/11/13,71,SDN,LEXUS,GRAY,2014,Inspection Sticker Expired,NOSTRAND AVE,Manhattan,65
4998184156,YGS6937,NJ,PAS,08/04/13,40,SUBN,CHEVROLET,BLACK,2013,Fire Hydrant,HILLSIDE AVE,Queens,115
3214757242,CPR0674,NY,COM,01/12/13,74,VAN,LEXUS,BLACK,1998,Missing Required Equipment,COLUMBUS AVE,Brooklyn,65
4280722909,MGZ5366,NJ,PAS,07/23/2013,14,SUV,NISSAN,BLUE,1998,No Standing - Day/Time Limits,AMSTERDAM AVE,,115
5570557852,KJR6330,NY,IRP,06/29/2014,21,DELV,BMW,SILVER,2002,No Parking - Street Cleaning,LEXINGTON AVE,Manhattan,65
2150189847,ZZU2131,NY,PAS,08/28/2013,74,SDN,HONDA,GY,2011,Missing Required Equipment,JAMAICA AVE,Manhattan,65
1281451607,SQJ0286,NY,PAS,07/12/13,98,PICK,KIA,GREEN,2013,Blocking Intersection,AMSTERDAM AVE,Manhattan,0
8287032823,MBL9361,NY,PAS,12/23/2013,38,SDN,TOYOTA,GRAY,2003,Failure to Display Muni Meter Receipt,PARK AVE,Bronx,65
8432663268,RBF7856,PA,PAS,05/28/2014,40,SUBN,HYUNDAI,BLACK,2000,Fire Hydrant,BEDFORD AVE,Manhattan,115
7045772988,ECH4900,IL,PAS,08/25/2013,40,SUV,NISSAN,RED,9999,Fire Hydrant,GRAND CONCOURSE,,115
1681151168,SEX1513,CT,PAS,06/12/14,20,SUV,CHEVROLET,RED,1998,No Parking - Day/Time Limits,AMSTERDAM AVE,Manhattan,0
4079453436,UTE4105,CT,PAS,09/23/2013,19,SUV,HONDA,gray,1998,No Standing - Bus Stop,,Queens,115
7564088904,ETD8703,NY,PAS,11/02/13,21,SUV,CHEVROLET,BLACK,2007,No Parking - Street Cleaning,FLATBUSH AVE,Brooklyn,65
1918583210,GPA9492,ny,PAS,03/22/2014,71,DELV,VOLKSWAGEN,SILVER,,Inspection Sticker Expired,FLATBUSH AVE,Bronx,65
8637718187,FUJ7605,NJ,PAS,09/28/2013,40,van,LEXUS,BLACK,2009,Fire Hydrant,,Bronx,115
5647877356,ETP1214,NY,APP,09/04/14,71,SUV,MAZDA,YELLOW,2004,Inspection Sticker Expired,GRAND CONCOURSE,Brooklyn,65
4751414261,GPL1246,NY,PAS,09/20/2013,19,SDN,FORD,SILVER,2014,No Standing - Bus Stop,FULTON ST,Bronx,115
8825588977,QBX8265,NJ,PAS,12/17/2013,14,delv,CHEVROLET,BLACK,,No Standing - Day/Time Limits,RICHMOND AVE,,115
2674525521,AUL0655,NJ,PAS,04/13/2014,14,PICK,TOYOTA,BLACK,2013,No Standing - Day/Time Limits,JAMAICA AVE,Bronx,115
8517451065,ZPP8479,NY,,02/04/14,71,SUV,MAZDA,RED,2008,Inspection Sticker Expired,FLATBUSH AVE,Bronx,65
8549083668,ABS8312,CT,PAS,02/22/2014,20,VAN,FORD,RED,2001,No Parking - Day/Time Limits,richmond ave,Manhattan,
1181759574,BYQ2102,MA,PAS,10/27/2013,38,SUV,CHEVROLET,SILVER,2010,Failure to Display Muni Meter Receipt,BROADWAY,queens,65
8197295338,RGA5937,NY,PAS,01/24/2014,46,SDN,DODGE,SILVER,2001,Double Parking,NOSTRAND AVE,Manhattan,115
3934250362,DAQ2651,NJ,PAS,05/19/2014,21,SUV,BMW,SILVER,2012,No Parking - Street Cleaning,BEDFORD AVE,Manhattan,65
2262003579,FGA4355,NY,OMT,10/03/13,74,VAN,MERCEDES,BLACK,2002,Missing Required Equipment,NOSTRAND AVE,Staten Island,65
9689853136,BHZ3771,IL,PAS,10/04/13,40,VAN,HONDA,YELLOW,2009,Fire Hydrant,park ave,Brooklyn,115
5658351000,JXP7590,NY,APP,05/24/2014,98,DELV,BMW,GRAY,2014,Blocking Intersection,HILLSIDE AVE,Queens,
6915334476,GPS2628,TX,PAS,06/02/14,40,SDN,KIA,WHITE,2012,Fire Hydrant,FORDHAM RD,Bronx,115
4943000904,ENZ2804,MA,COM,02/07/14,37,SUV,MERCEDES,BLACK,2005,Expired Muni Meter,NOSTRAND AVE,Bronx,65
4315873227,CSW7413,NJ,COM,01/19/2014,40,SDN,HONDA,WHITE,2003,Fire Hydrant,5TH AVE,Staten Island,115
4138676512,PVX9479,PA,PAS,07/15/2013,40,VAN,TOYOTA,BLACK,2009,Fire Hydrant,FORDHAM RD,Manhattan,115
2582144815,ABS8167,NY,OMT,05/11/14,40,SDN,FORD,SILVER,2012,Fire Hydrant,JAMAICA AVE,Manhattan,115
9513913427,WCS0370,,PAS,10/10/13,37,SUBN,MERCEDES,WHITE,2014,Expired Muni Meter,FULTON ST,Brooklyn,65
5176753145,KRT4132,CT,PAS,02/16/2014,46,VAN,TOYOTA,,,Double Parking,FULTON ST,Manhattan,115
9854204279,ABE7005,NY,COM,04/30/2014,74,VAN,NISSAN,SILVER,2012,Missing Required Equipment,FLATBUSH AVE,Manhattan,65
8251009913,FQT9034,NY,PAS,02/05/14,40,SDN,BMW,BLACK,2006,Fire Hydrant,FULTON ST,,115
5456204585,KDP3191,NY,COM,01/16/2014,38,SDN,JEEP,BLACK,2000,Failure to Display Muni Meter Receipt,AMSTERDAM AVE,Bronx,65
8958425729,ZLU8608,,PAS,07/03/13,37,SDN,TOYOTA,GRAY,2000,Expired Muni Meter,AMSTERDAM AVE,Queens,65
2025711675,AXH3049,FL,pas,06/26/2014,21,SUBN,AUDI,BLACK,2009,No Parking - Street Cleaning,ATLANTIC AVE,Brooklyn,65
4936276994,MPB4421,PA,APP,10/18/2013,14,SDN,BMW,WHITE,2005,No Standing - Day/Time Limits,FLATBUSH AVE,Queens,115
2524985960,GYC0678,NY,PAS,10/14/2013,20,SDN,FORD,WHITE,1999,No Parking - Day/Time Limits,BROADWAY,Manhattan,65
4044608073,RVQ8005,NY,PAS,11/20/2013,14,MC,VOLVO,BLACK,2010,No Standing - Day/Time Limits,BROADWAY,Manhattan,115
1438841120,PEC7714,NJ,PAS,06/26/2014,14,,HONDA,WHITE,2013,No Standing - Day/Time Limits,FLATBUSH AVE,Queens,115
9996130630,XRP1167,NJ,com,08/02/13,38,SUV,BMW,WHITE,2007,Failure to Display Muni Meter Receipt,FORDHAM RD,queens,65
7871325709,LXB0897,NY,PAS,22/04/14,40,SDN,FORD,GREEN,2011,Fire Hydrant,NOSTRAND AVE,Queens,-115
7555028111,DCF2876,NJ,PAS,08/22/2013,38,SUBN,BMW,BLACK,9999,Failure to Display Muni Meter Receipt,5TH AVE,Manhattan,65
4381741645,KKQ0581,NJ,PAS,01/04/14,98,SUV,MERCEDES,GRAY,2007,Blocking Intersection,HILLSIDE AVE,Bronx,115
3338085359,KFY4664,NJ,PAS,10/04/13,46,SUBN,TOYOTA,WHITE,2013,Double Parking,PARK AVE,Queens,115
1853061625,MXM4343,NJ,PAS,01/04/14,46,SUBN,NISSAN,WHITE,2009,Double Parking,PARK AVE,Queens,115
3548280128,VZT2719,NJ,COM,12/14/2013,21,BUS,NISSAN,RED,1998,No Parking - Street Cleaning,FLATBUSH AVE,Queens,65
6145328533,UYX2311,NY,PAS,10/09/13,74,SDN,AUDI,WHITE,1999,Missing Required Equipment,RICHMOND AVE,Bronx,
1931072706,GJS8296,FL,PAS,02/20/2014,40,SUBN,TOYOTA,WHITE,2002,Fire Hydrant,5TH AVE,Queens,115
1969449751,HCA5190,NY,PAS,08/28/2013,46,SUV,FORD,SILVER,2004,Double Parking,GRAND CONCOURSE,Queens,115
9084772460,WCQ5402,CT,PAS,11/12/13,83,SUV,NISSAN,WHITE,2011,Improper Registration,RICHMOND AVE,Staten Island,65
4671396162,HRN2424,NY,PAS,06/09/14,46,SDN,TOYOTA,GRAY,2001,Double Parking,LEXINGTON AVE,Queens,115
4106811051,AMN7054,NJ,PAS,03/08/14,37,VAN,HYUNDAI,BLACK,2007,Expired Muni Meter,RICHMOND AVE,Brooklyn,-65
5106893220,XHR9929,TX,PAS,03/28/2014,20,SDN,TOYOTA,BLACK,2012,No Parking - Day/Time Limits,RICHMOND AVE,Queens,65
7463438053,XZA7629,NY,PAS,24/05/14,21,SUV,FORD,WHITE,2006,No Parking - Street Cleaning,LEXINGTON AVE,Brooklyn,0
2672205455,VRP5017,GA,pas,12/08/13,71,SUV,LEXUS,ORANGE,2007,Inspection Sticker Expired,AMSTERDAM AVE,Manhattan,65
4830354490,UWJ9369,NY,OMT,05/02/14,21,SUV,AUDI,GRAY,2005,No Parking - Street Cleaning,NOSTRAND AVE,Queens,65
1793833723,UXB6133,NY,PAS,01/15/2014,38,SUV,NISSAN,SILVER,,Failure to Display Muni Meter Receipt,COLUMBUS AVE,Bronx,65
4523371522,KBP1401,FL,PAS,05/09/14,21,SDN,VOLKSWAGEN,red,2007,No Parking - Street Cleaning,FLATBUSH AVE,Bronx,65
9716199001,FSE1029,NJ,PAS,01/17/2014,74,SUV,HYUNDAI,BLUE,2004,Missing Required Equipment,MADISON AVE,Brooklyn,65
5753436964,QMD0408,NY,PAS,,21,SDN,BMW,SILVER,2003,No Parking - Street Cleaning,AMSTERDAM AVE,Brooklyn,65
8639170637,CBW8844,MA,PAS,,20,SDN,ACURA,BLUE,2012,No Parking - Day/Time Limits,RICHMOND AVE,Manhattan,65
4969952018,CMM1357,NJ,PAS,12/26/2013,46,VAN,HYUNDAI,GRAY,2001,Double Parking,JAMAICA AVE,,115
6915420346,AEH5340,NY,SRF,12/28/2013,20,DELV,MERCEDES,black,2004,No Parking - Day/Time Limits,FORDHAM RD,Staten Island,65
8313636100,DEW7981,FL,COM,02/20/2014,14,VAN,CHEVROLET,BLUE,2008,No Standing - Day/Time Limits,LEXINGTON AVE,Queens,115
6212809380,TKS1699,NY,PAS,05/13/2014,20,SUBN,DODGE,GREEN,2008,No Parking - Day/Time Limits,AMSTERDAM AVE,Bronx,65
8696935879,ZBF2803,NY,PAS,09/27/2013,40,DELV,FORD,WHITE,2012,Fire Hydrant,PARK AVE,Queens,115
1248872076,YLC1392,PA,OMT,06/10/14,14,SDN,TOYOTA,SILVER,2004,No Standing - Day/Time Limits,COLUMBUS AVE,Queens,115
2231951978,GLF2902,,PAS,06/27/2014,14,SUBN,HONDA,RED,2002,No Standing - Day/Time Limits,ATLANTIC AVE,Manhattan,115
7610939632,ESJ2699,NJ,PAS,11/30/2013,46,SDN,TOYOTA,WHITE,2013,Double Parking,RICHMOND AVE,Brooklyn,115
1969992961,WJN6433,TX,PAS,05/11/14,40,VAN,FORD,YELLOW,2008,Fire Hydrant,LEXINGTON AVE,Queens,115
7345156560,ZGT5599,FL,PAS,04/29/2014,36,SUBN,LEXUS,SILVER,1999,Exceeding Parking Time Limit,5TH AVE,Queens,65
4599462782,CEZ3569,NY,PAS,08/13/2013,20,,NISSAN,SILVER,9999,No Parking - Day/Time Limits,MADISON AVE,Brooklyn,65
3519243506,,FL,PAS,06/10/14,40,DELV,HONDA,WHITE,2000,Fire Hydrant,GRAND CONCOURSE,,115
2749250097,BTB8596,NY,PAS,09/07/13,20,SUV,JEEP,BLACK,2000,No Parking - Day/Time Limits,PARK AVE,Manhattan,65
4105064001,ZFL4097,NY,PAS,12/08/13,74,SUV,BMW,WHITE,2011,Missing Required Equipment,ATLANTIC AVE,,
5044141808,TSK2534,IL,COM,08/30/2013,21,SDN,BMW,BLACK,2009,No Parking - Street Cleaning,BEDFORD AVE,Queens,65
3172620347,BCE7671,CT,PAS,10/31/2013,38,SUBN,FORD,GRAY,1998,Failure to Display Muni Meter Receipt,FORDHAM RD,Queens,65
1315686781,PDL1879,NY,COM,12/04/13,46,VAN,VOLKSWAGEN,GREEN,2002,Double Parking,JAMAICA AVE,Queens,115
7233251393,NUX3680,NJ,OMT,08/29/2013,21,SDN,FORD,SILVER,2012,No Parking - Street Cleaning,AMSTERDAM AVE,Manhattan,65
6734602842,PMH4020,NY,PAS,10/02/13,71,COMO,,BLACK,2000,Inspection Sticker Expired,AMSTERDAM AVE,Manhattan,65
2796451594,MZD8727,NY,COM,01/08/14,14,BUS,FORD,WHITE,2011,No Standing - Day/Time Limits,FLATBUSH AVE,Queens,115
5691069540,FHB5372,TX,PAS,06/21/2014,40,SDN,HYUNDAI,,2009,Fire Hydrant,,Queens,115
5010545458,RVV3314,PA,pas,09/11/13,71,VAN,NISSAN,GRAY,1999,Inspection Sticker Expired,FULTON ST,Manhattan,65
2262498713,DQQ5465,CT,PAS,03/19/2014,38,SDN,HONDA,BK,2004,Failure to Display Muni Meter Receipt,ATLANTIC AVE,,65
